name,description
Пятёрочка,Федеральная сеть супермаркетов с широким ассортиментом продуктов и товаров повседневного спроса
Магнит,Крупнейшая розничная сеть
Дикси,Сеть продуктовых магазинов формата «у дома»
Перекрёсток,Супермаркеты премиум-класса с высоким уровнем сервиса
Лента,Сеть гипермаркетов с собственными торговыми марками
ВкусВилл,Ритейлер натуральных продуктов и здорового питания
Самокат,Сервис быстрой доставки продуктов из магазинов
СберМаркет,Онлайн-сервис доставки продуктов из крупных торговых сетей
О'Кей,Сеть гипермаркетов с международными брендами
Глобус,Гипермаркеты с широким выбором товаров и собственной пекарней
Азбука Вкуса,Премиальные супермаркеты с авторской кулинарией
Бристоль,Сеть алкогольных магазинов
Красное&Белое,Магазины алкогольных и сопутствующих товаров
Верный,Федеральная сеть продуктовых магазинов
Монетка,Дискаунтеры с доступными ценами
Чижик,Дискаунтер от X5 Group
Виктория,Региональная сеть супермаркетов
К&Б,Магазины алкогольных напитков
Магнит Косметик,Специализированные магазины косметики
Подружка,Сеть магазинов косметики и парфюмерии
