name,description
Молочные продукты,"Молоко, сливки, сметана, йогурты, творог и другие молочные продукты"
Сыры,"Твёрдые, мягкие, плавленые и другие виды сыра"
Мясо,"Говядина, свинина, баранина и другие виды мяса"
Птица,"Курица, индейка и другие продукты из мяса птицы"
Рыба и морепродукты,"Свежая, охлаждённая и замороженная рыба, морепродукты и рыбные продукты"
Колбасы и мясные изделия,"Колбаса, сосиски, сардельки, ветчина и другие мясные изделия"
Овощи,"Свежие и замороженные овощи, зелень и овощные наборы"
Фрукты и ягоды,"Свежие, замороженные и сушёные фрукты и ягоды"
Хлеб и выпечка,"Хлеб, батон, булочки, лаваш, выпечка и хлебобулочные изделия"
Бакалея,"Крупы, макароны, мука, сахар, соль, бобовые и другие сухие продукты"
Масла и соусы,"Растительное и сливочное масло, майонез, кетчуп, соусы и заправки"
Консервы,"Овощные, мясные, рыбные, фруктовые консервы и другие консервированные продукты"
Замороженные продукты,"Замороженные полуфабрикаты, овощи, фрукты и готовые блюда"
Сладости,"Шоколад, конфеты, карамель, мармелад и другие кондитерские изделия"
Печенье и снеки,"Печенье, вафли, сухарики, чипсы, орехи и другие снеки"
Чай и кофе,"Чай, кофе, какао и растворимые напитки"
Напитки,"Вода, соки, газированные, энергетические и другие безалкогольные напитки"
Алкоголь,"Пиво, вино, крепкие алкогольные напитки и другие алкогольные продукты"
Детское питание,"Детские смеси, каши, пюре и другие продукты для детей"
Бытовая химия,"Средства для уборки, стирки, мытья посуды и другие хозяйственные средства"
Личная гигиена,"Шампуни, мыло, зубная паста, средства для ухода за телом и другие товары гигиены"
Косметика,"Средства по уходу за лицом, телом, волосами и декоративная косметика"
Товары для дома,"Хозяйственные товары, кухонные принадлежности, расходные материалы и товары для быта"
Товары для животных,"Корм, наполнители, средства ухода и другие товары для домашних животных"
Прочее,"Товары, которые не подошли в другие категории"
